Character	Stories
Spider-Woman (Jessica Drew)	6 of 6 - Breakout!
Spider-Woman (Jessica Drew)	1 of 5 - The Raft
Spider-Woman (Jessica Drew)	1 of 3 - Sentry
Spider-Woman (Jessica Drew)	3 of 3 - Sentry
Spider-Woman (Jessica Drew)	1 of 3 - Ronin
Spider-Woman (Jessica Drew)	2 of 3 - Ronin
Spider-Woman (Jessica Drew)	4 of 4 - Sentry
Spider-Woman (Jessica Drew)	3 of 3 - Ronin
Spider-Woman (Jessica Drew)	1 of 2 - Spider-Woman
Spider-Woman (Jessica Drew)	2 of 2 - Spider-Woman
Spider-Woman (Jessica Drew)	New Avengers (2004) #19
Spider-Woman (Jessica Drew)	4 of 4 - Family Matters
Spider-Woman (Jessica Drew)	Cover #4499
Spider-Woman (Jessica Drew)	1 of 7 - 7XLS
Spider-Woman (Jessica Drew)	Cover #5874
Smasher (Vril Rokk)	Cover #13580
Smasher (Vril Rokk)	Where No X-Man Has Gone Before!
Smasher (Vril Rokk)	The Fate of the Phoenix!
Smasher (Vril Rokk)	The Darkest Hour
Smasher (Vril Rokk)	The Path Not Taken
Smasher (Vril Rokk)	All Hell
Smasher (Vril Rokk)	Losers
Smasher (Vril Rokk)	Superdestroyer
Smasher (Vril Rokk)	Imperial
Smasher (Vril Rokk)	Danger Rooms
Turbo	Cutting Class
Turbo	Cutting Class Part 2
Turbo	3 of 6 - 6XLS
Justice	Madman II
Justice	Once an Avenger...
Justice	Cover #37339
Justice	Pomp & Pageantry
Justice	...Always an Avenger!
Justice	Cover #37343
Justice	Old Entanglements
Justice	Cover #37345
Justice	Lords & Leaders
Justice	Hi, Honey...I'm Home!
Justice	Cover #37349
Justice	The Three-Fold Path
Justice	Cover #37351
Justice	Mistaken Identity
Justice	Avengers (1998) #17
Justice	Cage of Freedom
Justice	The Battle for Imperion City!
Justice	This Evil Renewed
Justice	Cover #37359
Justice	The Call
(u"Tiger's Beautiful Daughter",)	TBD 4 of 7
(u"Tiger's Beautiful Daughter",)	TBD 5 of 7
(u"Tiger's Beautiful Daughter",)	TBD 6 of 7
(u"Tiger's Beautiful Daughter",)	1 of 2
(u"Tiger's Beautiful Daughter",)	4 of 4
(u"Tiger's Beautiful Daughter",)	Interior #64737
Tarot	Fresh Upstart
Tarot	Armageddon Now Part 1: Family Matters
Tarot	Battle With the New Hellions Round 1
Tarot	Armageddon Now Part Two: Blood & Betrayal
Tarot	Armageddon Now Part 3: Hellions Triumphant!
Tarot	Armageddon Now Part 4: Rude Awakening
Hydro-Man	Cover #12941
Hydro-Man	The Illusion
Hydro-Man	The Thing…No More!
Hydro-Man	Why?!!
Hydro-Man	What Can One Man Do?
Hydro-Man	The Dream is Dead Part Two
Hyperion (Earth-712)	4 of 4 - Time Breakers
Hyperion (Earth-712)	2 of 3 - Guardian Protocols
Hyperion (Earth-712)	1 of 5 - 5XLS
Hyperion (Earth-712)	5 of 5 - 5XLS
Hyperion (Earth-712)	1 of 6 - The Pre-War Years
Hyperion (Earth-712)	2 of 6 - The Pre-War Years
Hyperion (Earth-712)	1 of 9 XLS
Hyperion (Earth-712)	Cover #6190
Hyperion (Earth-712)	2 of 4 - 4 XLS
Hyperion (Earth-712)	Brain-Child to the Dark Tower Came
Hyperion (Earth-712)	Paradise X Issue 1
Hyperion (Earth-712)	Paradise X Issue 10
Hyperion (Earth-712)	Cover #26021
Hyperion (Earth-712)	Paradise X Issue 11
Hyperion (Earth-712)	Paradise X Issue 2
Hyperion (Earth-712)	Paradise X Chapter 4
Hyperion (Earth-712)	Paradise X Issue 6
Hyperion (Earth-712)	Paradise X Issue 8
Hyperion (Earth-712)	Paradise X Issue 9
Hyperion (Earth-712)	Paradise X Issue X
Sersi	Chaos in the Courtroom
Sersi	Cover #14769
Sersi	Unbidden Memories
Sersi	The Crimson Crusade
Sersi	Where To Begin
Sersi	Bad Judgment
Sersi	Olympia
Sersi	Endgame Part 2: Heroic Effort
Sersi	The Secret History of The Avengers
Sersi	Bloodties Part Four: Night Fog
Sersi	Bloodties Part 2: Civil Disobedience!
Sersi	Cover #29681
Sersi	Sleeping Dogs
Sersi	The Outlaw Trail
Sersi	Cover #29687
Sersi	The Final Calculation
Sersi	Cover #37337
Sersi	Once an Avenger...
Sersi	Cover #37359
Sersi	The Call
Post	The Ticking Clock
Post	Spectre of Yesterday...Destroyer of Tomorrow!
Post	From the Pit Comes an Evil
Post	Escape From Alcatraz (The Hunt For Xavier Part Five)
Post	What Dreams May Come...
Post	Meet the Herald of Onslaught
Post	The Beginning of the End: Twilight of the Gods
Post	The Hunt for Xavier Part Four: Tomb of Ice
Post	Traitor to the Cause
Maelstrom	Interior #76061
Moondragon	1 of 6 - Annihilation
Moondragon	Stranger in a Strange Man!
Moondragon	Sub-Mariner: Target For Death!
Moondragon	Annihilation: Conquest (2007) #1
Moondragon	Annihilation: Conquest (2007) #1 - Int
Moondragon	Annihilation: Conquest (2007) #2 - Int
Moondragon	Cover #37337
Moondragon	Once an Avenger...
Moondragon	Cover #37359
Moondragon	The Call
Moondragon	Avengers Assemble!
Moondragon	At Last: The Decision!
Moondragon	Fata Morgana
Moondragon	Cover #37397
Moondragon	Interstellar Intrigues
Moondragon	Cover #37408
Moondragon	Too Many Avengers!
Moondragon	Aftermath!
Moondragon	Guile
Moondragon	Reunion
Vanisher (Telford Porter)	Cover #15663
Vanisher (Telford Porter)	Cable (2008) #13 - Int
Vanisher (Telford Porter)	Cable (2008) #13, 50/50 Variant - Int
Vanisher (Telford Porter)	Cable (2008) #14 - Int
Vanisher (Telford Porter)	Cable (2008) #14, 50/50 Variant - Int
Vanisher (Telford Porter)	Cable (2008) #15 - Int
Vanisher (Telford Porter)	Cable (2008) #15, 50/50 Variant - Int
Black Bolt	4 of 4 - Sentry
Black Bolt	5 of 5 - Bride of the Panther
Black Bolt	Cover #3848
Black Bolt	1 of 6 - Silent War
Black Bolt	1 of 5 - 5XLS
Black Bolt	2 of 5 - 5 XLS
Black Bolt	3 of 5 - 5XLS - Secret Wars
Black Bolt	The Marvel Rage!
Black Bolt	Suddenly ... The Secret Defenders
Black Bolt	It's Always Darkest Before the ... DOOM!
Black Bolt	If Death Be Our Destiny--!
Black Bolt	In Memoriam!
Black Bolt	At the Mercy of Maximus!
Black Bolt	Cover #14715
Black Bolt	What if Black Bolt got the Hiccups?
Black Bolt	What if Black Bolt Hosted a Television Talk Show?
Black Bolt	Cover #23119
Black Bolt	History Lesson
Black Bolt	Woof
Black Bolt	Earth X Chapter Ten
Ben Reilly	The Double Part 2: No Escape
Ben Reilly	Amazing Spider-Man (1999) #609 - Int
Ben Reilly	Amazing Spider-Man (1999) #610 - Int
Ben Reilly	Spider-Man: New York Stories (0000) #1
Dead Girl	1 of 5 - A Long Time Dead
Dead Girl	How the Super-Hero Business Works
Dead Girl	[untitled]
Dead Girl	One of Us
Dead Girl	Cover #38221
Dead Girl	As I Die Lying
Dead Girl	Because Louise
Dead Girl	Someone Dies
Dead Girl	X Storm!
Thunderbolts	4 of 6 - Reflections
Thunderbolts	1 of 6
Thunderbolts	1 of 1 - Lightning Strikes Twice
Thunderbolts	1 of
Thunderbolts	1 of ?
Thunderbolts	2 of ?
Thunderbolts	1 of 3 - Civil War
Thunderbolts	2 of 3 - Civil War
Thunderbolts	3 of 3 - Civil War
Thunderbolts	1 of 3 - Guardian Protocols
Thunderbolts	2 of 3 - Guardian Protocols
Thunderbolts	2 of 3 - Guardian Protocols
Thunderbolts	3 of 3 - Guardian Protocols
Thunderbolts	1 of 6 -
Thunderbolts	1 of 6 - Faith in Monsters
Thunderbolts	Leinil Yu Cover
Thunderbolts	2 of 6 - Faith in Monsters
Thunderbolts	2 of 6 - Faith in Monsters
Thunderbolts	Ariel Olivetti Cover
Thunderbolts	Ariel Olivetti Cover
Hercules	2 of 4 - 4XLS
Hercules	Like a Phoenx!
Hercules	The Dream is Dead Part Two
Hercules	The Avengers Break Up!
Hercules	Avengers (1963) #163 Cover
Hercules	Cover #14775
Hercules	Kang Lives!
Hercules	Whom the Gods Would Destroy
Hercules	Battleground:  Olympus
Hercules	Twilight of the Gods
Hercules	Game of the Gods
Hercules	Let Slip the Dogs of War
Hercules	They First Make Mad
Hercules	Summons From the Stars!
Hercules	To Die in Darkness!
Hercules	The Ring of No Return!
Hercules	Ring of Death!
Hercules	Death Stalks the Shadows!
Hercules	Thor (1966) #129
Hercules	Firelord!
Red She-Hulk	Avengers (2010) #16
Red She-Hulk	Interior #71182
Red She-Hulk	Interior #79774
Red She-Hulk	Interior #79780
Red She-Hulk	Incredible Hulks #629
Red She-Hulk	INCREDIBLE HULKS #623
Red She-Hulk	Cover #79789
Red She-Hulk	Interior #79790
Red She-Hulk	Interior #83578
Red She-Hulk	Return of the King (2010) #3
Red She-Hulk	Interior #84969
Red She-Hulk	Interior #90271
Red She-Hulk	Point One (2011) #1 - Int
Red She-Hulk	Incredible Hulks (2009) #608, VARIANT
Red She-Hulk	Point One (2011) #1, Bradshaw Variant - Int
Red She-Hulk	Point One (2011) #1, Bradshaw Inked Variant - Int
Glenn Talbot	The Summons of Psyklop
Glenn Talbot	Incredible Hulks (2009) #607, MCGUINNESS VARIANT
Scourge	When Dalliance Was In Flower, or, Take the Cash and Let the Credit Go
Scourge	Captain America (1968) #358
Scourge	Captain America (1968) #362
Scourge	All Along the Watchtower
Scourge	All Along the Watchtower Part 2
Scourge	The Lonesome Death of Jack Monroe
Major Mapleleaf	4 of 4 - Days of Future Present Past Participle
Sauron	5 of 6 - Breakout!
Sauron	6 of 6 - Breakout!
Sauron	Enter: Sauron!
Sauron	Cover #15599
Sauron	Cover #15602
Sauron	Monsters Also Weep!
Sauron	Strangers...In a Savage Land!
Sauron	Sittin' by the Dock of the Bay
Sauron	Blackbirds
Sauron	The Uncanny X-Men Vs. Sauron
Sauron	Meet The Uncanny X-Men
Sauron	Prehistory
Sauron	North & South
Sauron	Reunion
Sauron	Cover #28898
Sauron	Induction in the Savage Land
Sauron	Cover #28902
Sauron	Tooth and Nail
Sauron	Savage Finale !
Sauron	Triassic Park
Exodus	A Portrait of the Artist
Exodus	Crossing Swords
Exodus	Rise of an Ancient Evil
Exodus	Racing the Night
Exodus	Heroes and Villains Part One
Exodus	Cover #26137
Exodus	Heroes and Villains Part Two: Treachery
Exodus	Heroes and Villains Part Three: Foreshadowing
Exodus	Heroes and Villains Part Four: Full Circle
Exodus	...For What I Have Done
Exodus	...And Men Have Named Him... Exodus!
Exodus	Judgment At Avalon!
Exodus	Peers
Exodus	Fatal Attractions: Dreams Fade
Exodus	Bloodties Part 2: Civil Disobedience!
Exodus	The Fall of Avalon
Exodus	Fatal Attractions
Exodus	Fatal Attractions: Back to Front
Exodus	Point Blank
Exodus	The Salvation of Exodus
Phoenix	1 of 5
Phoenix	And Now, Magneto
Phoenix	Cover #15615
Phoenix	Cover #15618
Phoenix	Cover #15621
Phoenix	Cover #15626
Phoenix	Cover #15629
Phoenix	Cover #15631
Phoenix	Cover #15634
Phoenix	Cover #15636
Phoenix	Cover #15638
Phoenix	Cover #15640
Phoenix	Cover #15642
Phoenix	The Menace of Merlin!
Phoenix	Cover #15646
Phoenix	Cover #15651
Phoenix	Cover #15653
Phoenix	Cover #15655
Phoenix	Cover #15657
Phoenix	Mekano Lives!
The Order	12XLS 1 of 12; THE INITIATIVE BANNER
The Order	12XLS 2 of 12; THE INITIATIVE BANNER
The Order	THE INITIATIVE BANNER
The Order	THE INITIATIVE BANNER
The Order	Interior #36219
The Order	Interior #36518
The Order	Interior #36948
The Order	1 of 5
The Order	2 of 5
The Order	3 of 5
The Order	12XLS 1 of 12; THE INITIATIVE BANNER
Gamora	Annihilation: Conquest 3 of 4
Gamora	Drax vs. Gamora 3 of 3
Gamora	Assault on Monster Isle
Gamora	Aftermath!
Gamora	Guile
Gamora	Reunion
Gamora	Cover From The Thanos Imperative: Devestation (2010) #1
Gamora	Cover #96970
Gamora	Cover #96972
Gamora	cover from Guardians of the Galaxy (2013) #1 (TBD ARTIST VARIANT)
Zombie (Simon_Garth)	
Betty Ross	The Power of Dr. Banner!
Betty Ross	If I Kill You--I Die!
Betty Ross	The Invasion of the Lava Men
Betty Ross	INCREDIBLE HULK VOL. 3 #1
Betty Ross	Interior #81853
Betty Ross	Incredible Hulks (2009) #607, MCGUINNESS VARIANT
Nemesis	4 of 4 - Days of Future Present Past Participle
Nemesis	X-Men (2010) #19, Mc 50th Anniversary Variant
Nemesis	X-Men #19 Interior
Lightning Lords of Nepal	TBD 3 of 5
Daredevil	2 of 4 - Golden Age
Daredevil	Interior #1057
Daredevil	Interior #1059
Daredevil	Interior #1061
Daredevil	Interior #1063
Daredevil	Interior #1065
Daredevil	Interior #1067
Daredevil	"THE WIDOW," PART 4 (OF 4) The blistering climax to the sexy 4-part Black Widow storyline (just in time for a certain blistering
Daredevil	Daredevil headlines this special, oversized issue celebrating both the 40th anniversary of the character AND the 5th anniversary
Daredevil	"GOLDEN AGE" PART 1 (OF 4) Leaping off the pages of last month’s anniversary special, we follow Matt Murdock through a story tha
Daredevil	3 of 4 - Golden Age
Daredevil	4 of 4 - Golden Age
Daredevil	5 of 5 - Golden Age
Daredevil	1 of 6 - Decalogue
Daredevil	2 of 6 - Decalogue
Daredevil	3 of 6 - Decalogue
Daredevil	4 of 6 - Decalogue
Daredevil	5 of 6 - Decalogue
Daredevil	6 of 6 - Decalogue
Daredevil	2 of 5 - Murdock Papers
Odin	The Coming of Loki
Odin	Journey Into Mystery (1952) #122
Odin	The Trial of Reed Richards
Odin	War Against the Gods!
Odin	Their Darkest Hour!
Odin	Come On In, The Revolution's Fine
Odin	To Wake the Mangog!
Odin	And Now...Galactus!
Odin	Thor (1966) #163
Odin	Thor (1966) #164
Odin	Thor (1966) #166
Odin	Thor (1966) #167
Odin	Thor (1966) #168
Odin	Thor (1966) #169
Odin	Thor (1966) #172
Odin	Thor (1966) #177
Odin	Thor (1966) #178
Odin	Thor (1966) #182
Odin	Thor (1966) #183
Odin	Thor (1966) #212
Doctor Strange	Interior #1666
Doctor Strange	1 of 5
Doctor Strange	3 of 3 - Sentry
Doctor Strange	4 of 4 - Sentry
Doctor Strange	5 of 5 - Bride of the Panther
Doctor Strange	Cover #3848
Doctor Strange	4 of 6 - 6XLS
Doctor Strange	5 of 6 - 6XLS
Doctor Strange	1 of 5 - A Long Time Dead
Doctor Strange	3 of 5 -
Doctor Strange	4 of 5 - The Oath
Doctor Strange	1 of 5 - 5XLS
Doctor Strange	2 of 5 - 5 XLS
Doctor Strange	3 of 5 - 5XLS - Secret Wars
Doctor Strange	Dr. Strange, Master of Black Magic
Doctor Strange	Face-to-Face With The Magic of Baron Mordo
Doctor Strange	The Return of the Omnipotent Baron Mordo
Doctor Strange	The Origin of Dr. Strange
Doctor Strange	Return to the Nightmare World
Doctor Strange	The Many Traps of Baron Mordo
Madrox	3 of 5
Madrox	X-MEN: RELOAD ANOTHER CLIP!  Jamie Madrox, stabbed, staggering off a bus. Jamie Madrox, setting up a detective agency in the hea
Madrox	PART 2 (OF 5) The murder of one of Madrox’s dupes sends the original Jamie on a quest to the Windy City of Chicago to determine 
Madrox	4 of 5 - Multiple Choice
Madrox	5 of 5 - Multiple Choice
Madrox	1 of 6
Madrox	3 of 6
Madrox	Cover #5770
Madrox	1 of 1
Madrox	1 of 3 - Mutant Town Ghetto
Madrox	Messiah Complex 3 of 13
Madrox	Messiah Complex 3 of 13
Madrox	Cover #61472
Madrox	X-Factor #216
Madrox	Interior #93000
Tana Nile	Thor (1966) #211
Tana Nile	Thor (1966) #212
Tana Nile	Thor (1966) #217
Tana Nile	Thor (1966) #218
Tana Nile	Thor (1966) #220
Layla Miller	Messiah Complex 3 of 13
Layla Miller	Messiah Complex 3 of 13
Layla Miller	Secret Invasion 2 of 8
Layla Miller	Cover #61472
Layla Miller	Cover #91176
Fantastic Four	Interior #513
Fantastic Four	Interior #563
Fantastic Four	Interior #592
Fantastic Four	Interior #799
Fantastic Four	Interior #801
Fantastic Four	Interior #803
Fantastic Four	1 of 5 - Galactus
Fantastic Four	Interior #913
Fantastic Four	Interior #915
Fantastic Four	Interior #917
Fantastic Four	Interior #919
Fantastic Four	Interior #921
Fantastic Four	AVENGERS DISASSEMBLED TIE-IN! "FOURTITUDE" PART 2 (OF 3) With public opinion of the FF at an all-time low and with all of Manhat
Fantastic Four	AVENGERS DISASSEMBLED TIE-IN! "FOURTITUDE" FINALE! PART 3 (OF 3) Galactus the World-Eater is coming to Earth to choose one of th
Fantastic Four	2 of 4 - Galactus
Fantastic Four	3 of 4 - Galactus
Fantastic Four	4 of 4 -Galactus
Fantastic Four	5 of 5 - Galactus
Fantastic Four	5 of 5 - Galactus
Fantastic Four	1 of 2
Squirrel Girl	1 of 4 - 4LXS
Squirrel Girl	Age of Heroes TPB
Squirrel Girl	Amazing Spider-Man (1999) #653 - Int
Squirrel Girl	Cover #77848
Squirrel Girl	Interior #77849
Squirrel Girl	New Avengers (2010) #17
Squirrel Girl	Interior #82339
Squirrel Girl	New Avengers (2010) #17, Mc 50th Anniversary Variant cover
Squadron Supreme (Earth-712)	1 of 6 - The Pre-War Years
Squadron Supreme (Earth-712)	2 of 6 - The Pre-War Years
Squadron Supreme (Earth-712)	3 of 6 - The Pre-War Years
Squadron Supreme (Earth-712)	4 of 6 - The Pre-War Years
Squadron Supreme (Earth-712)	1 of 3
Squadron Supreme (Earth-712)	2 of 3
Squadron Supreme (Earth-712)	3 of 3
Squadron Supreme (Earth-712)	1 of ?
Squadron Supreme (Earth-712)	2 of ?
Squadron Supreme (Earth-712)	2 of 4 - 4 XLS
Squadron Supreme (Earth-712)	The World is Not for Burning
Squadron Supreme (Earth-712)	Asylum
Squadron Supreme (Earth-712)	Cover #21645
Squadron Supreme (Earth-712)	The Utopia Principle
Squadron Supreme (Earth-712)	Caught in the Quagmire!
Squadron Supreme (Earth-712)	The Dark From Within
Squadron Supreme (Earth-712)	Blue Eagle at the Mercy of Nighthawk's Renegades!
Squadron Supreme (Earth-712)	Betrayal
Squadron Supreme (Earth-712)	Civil War!
Squadron Supreme (Earth-712)	The Dregs of Victory
Hardball	Avengers: The Initiative (2007) #4
Hardball	1 of 1
Hardball	Avengers: The Initiative (2007) #19 - Int
Hardball	Avengers: The Initiative (2007) #20 - Int
Hardball	Fear Itself: Youth in Revolt #1 cover
Hardball	Fear itself: Youth In Revolt #3
Hardball	Fear Itself Youth In Revolt #4 Cover
Hardball	Fear Itself: Youth in Revolt (2011) #5
Hardball	Fear Itself: Youth in Revolt (2011) #6
Punisher 2099	Interior #4180
Rawhide Kid	Writer Ron Zimmerman and legendary Western comics artist John Severin take aim at the lovable redheaded Western scamp The Rawhid
Rawhide Kid	Cover #35509
Rawhide Kid	Gunfight At Fury Falls
Rawhide Kid	El Sombro
Rawhide Kid	I Shot Jesse James!
Rawhide Kid	I Shot Jesse James
Rawhide Kid	Ambush
Rawhide Kid	Cover #35515
Rawhide Kid	Guns of the Comancheros
Rawhide Kid	The Man Who Couldn't Be Killed
Rawhide Kid	Cover #35518
Rawhide Kid	The Town Tyrant
Rawhide Kid	Branded
Rawhide Kid	Shoot-Out at Mesa City!
Rawhide Kid	Shoot-Out At Mesa City
Rawhide Kid	The Gun That Couldn't Lose
Rawhide Kid	War In Chicamaw County
Rawhide Kid	Cover #35525
Rawhide Kid	The Sinister Sons of Ma Morgan
Rawhide Kid	Cover #35528
Deathcry	Annihilation Conquest: Starlord (2007) #2
Deathcry	Cover #82163
Deathcry	Interior #82164
Puck (Zuzha Yu)	4 of 4 - Days of Future Present Past Participle
Ant-Man (Eric O Grady)	1 of 6 -
Ant-Man (Eric O Grady)	3 of 6 -
Ant-Man (Eric O Grady)	5 of 6 - Story A; Franklin Richards back-ups
Ant-Man (Eric O Grady)	6 of 6 - Story A
Ant-Man (Eric O Grady)	6 of 6 - Story A
Ant-Man (Eric O Grady)	Irredeemable Ant-Man (2006) #10
Ant-Man (Eric O Grady)	Avengers: The Initiative (2007) #8
Ant-Man (Eric O Grady)	Avengers: The Initiative (2007) #9
Ant-Man (Eric O Grady)	Avengers: The Initiative (2007) #14 - Int
Ant-Man (Eric O Grady)	Avengers: The Initiative (2007) #17
Ant-Man (Eric O Grady)	Avengers: The Initiative (2007) #17 - Int
Ant-Man (Eric O Grady)	Avengers: The Initiative (2007) #18 - Int
Ant-Man (Eric O Grady)	Avengers: The Initiative (2007) #18, Zombie Variant - Int
Ant-Man (Eric O Grady)	Avengers: The Initiative (2007) #19 - Int
Ant-Man (Eric O Grady)	Avengers: The Initiative (2007) #20 - Int
Ant-Man (Eric O Grady)	24XLS 6 of 24
Ant-Man (Eric O Grady)	24XLS 6 of 24
Ant-Man (Eric O Grady)	Avengers: The Initiative (2007) #14, Spotlight Variant - Int
Ant-Man (Eric O Grady)	Secret Avengers #10
Ant-Man (Eric O Grady)	Cover #64810
X-Men (Ultimate)	Interior #489
X-Men (Ultimate)	Interior #531
X-Men (Ultimate)	4 of 4 - Cry Wolf
X-Men (Ultimate)	Interior #1421
X-Men (Ultimate)	Interior #1423
X-Men (Ultimate)	Interior #1425
X-Men (Ultimate)	Interior #1427
X-Men (Ultimate)	Interior #1429
X-Men (Ultimate)	Interior #1431
X-Men (Ultimate)	Interior #1433
X-Men (Ultimate)	Interior #1435
X-Men (Ultimate)	BRIAN K. VAUGHAN & ANDY KUBERT – TOGETHER!  “CRY WOLF” PART 2 (OF 4)  It’s all about the Ragin’ Cajun as the mysterious Gambit g
X-Men (Ultimate)	"CRY WOLF" PART 3 (OF 4) It's the Ultimate X-Men versus the Fenris twins – with Rogue and Gambit in the middle!  The Fenris twin
X-Men (Ultimate)	1 of 3 - Longshot
X-Men (Ultimate)	2 of 3 - Longshot
X-Men (Ultimate)	3 of 3 - Longshot
X-Men (Ultimate)	4 of 4 - The Most Dangerous Game
X-Men (Ultimate)	1 of 1
X-Men (Ultimate)	1 of 2 - Wolverine & Storm
X-Men (Ultimate)	2 of 2 - Wolverine & Storm
Joystick	6 of 6 - One Step Forward
Joystick	4 of 6 - Reflections
Scarecrow (Ebenezer Laughton)	2 of 3 - The Deadly Foes of Spider-Man
Scarecrow (Ebenezer Laughton)	All About Iron Man
Scarecrow (Ebenezer Laughton)	Sight Unseen
Scarecrow (Ebenezer Laughton)	Cover #41856
Scarecrow (Ebenezer Laughton)	Death Waters of the River Styx
Scarecrow (Ebenezer Laughton)	The Fury of the Fear Lords - The Great Fear Part 1 of 3
Scarecrow (Ebenezer Laughton)	Fires of Rebirth...Fires of Death!
Scarecrow (Ebenezer Laughton)	Enter:  The Scarecrow
Plazm	Cover #38198
Plazm	Exit Wounds
Frightful Four	Incredible Hulks (2009) #608, VARIANT
Venom (Flash Thompson)	Story B 4 of 5
Venom (Flash Thompson)	Cover #35456
Venom (Flash Thompson)	1 of 1
Venom (Flash Thompson)	1 of 1
Venom (Flash Thompson)	Venom: Lethal Protector 6, Spider-Man: Mysterio Manifesto 3
Venom (Flash Thompson)	1 of 1
Venom (Flash Thompson)	Amazing Spider-Man (1999) #622 - Int
Venom (Flash Thompson)	Amazing Spider-Man (1999) #642
Venom (Flash Thompson)	Amazing Spider-Man (1999) #647 - Int
Venom (Flash Thompson)	Amazing Spider-Man (1999) #665 - Int
Venom (Flash Thompson)	Amazing Spider-Man (1999) #669 - Int
Venom (Flash Thompson)	Amazing Spider-Man (1999) #668 - Int
Venom (Flash Thompson)	Amazing Spider-Man (1999) #654 - Int
Venom (Flash Thompson)	Secret Avengers (2010) #23
Venom (Flash Thompson)	Cover #84735
Venom (Flash Thompson)	Venom (2011) #3, X-Men Art Variant
Venom (Flash Thompson)	Amazing Spider-Man (1999) #654.1 
Venom (Flash Thompson)	Amazing Spider-Man (1999) #654.1 - Int
Venom (Flash Thompson)	Cover Venom #3
Venom (Flash Thompson)	Amazing Spider-Man (1999) #654, 2nd Printing Variant
Avengers	Interior #490
Avengers	Interior #542
Avengers	Interior #572
Avengers	Interior #574
Avengers	Interior #575
Avengers	Interior #577
Avengers	Interior #579
Avengers	Interior #580
Avengers	Cover #892
Avengers	Interior #1025
Avengers	Interior #1027
Avengers	Interior #1029
Avengers	Interior #1031
Avengers	Interior #1039
Avengers	Avengers (1998) #502
Avengers	Interior #1043
Avengers	Interior #1055
Avengers	1 of 5 - New Avengers
Avengers	Interior #1650
Avengers	Interior #1948
Doctor Doom	3 of 4 - Divine Time
Doctor Doom	3 of 3 - 3XLS
Doctor Doom	1 of 6 -
Doctor Doom	1 of 1 - Dr. Doom and Latveria
Doctor Doom	3 of 3 - Story C
Doctor Doom	3 of 3 - Story C
Doctor Doom	The Return of Doctor Doom!
Doctor Doom	Part 2 "Back from the Dead!"
Doctor Doom	Part 3 "The End of Mr. Fantastic?"
Doctor Doom	Part 4 "No Place to Turn!"
Doctor Doom	Part 5 "The Real Doctor Doom!"
Doctor Doom	Defeated by Doctor Doom!
Doctor Doom	Cover #12755
Doctor Doom	Cover #12757
Doctor Doom	Cover #12782
Doctor Doom	Interlude
Doctor Doom	Three Against Doomsday!
Doctor Doom	Choices
Doctor Doom	When Titans Clash
Doctor Doom	Cover #12828
Machine Man	Machine Man Meets the F. F. ... Failure Five
Machine Man	Cover #24902
Machine Man	Earth X
Machine Man	Cover #24904
Machine Man	Cover #24907
Machine Man	Appendix to Chapter Four
Machine Man	Appendix to Chapter Five
Machine Man	Appendix to Chapter Six
Machine Man	Appendix to Chapter Seven
Machine Man	Appendix to Chapter Eight
Machine Man	Cover #26039
Machine Man	Cover #37337
Machine Man	Once an Avenger...
Machine Man	Cover #37359
Machine Man	The Call
Machine Man	Fata Morgana
Machine Man	Cover #37408
Machine Man	Too Many Avengers!
Machine Man	Cover #52129
Machine Man	Cover #52131
Luke Cage	1 of 5 -
Luke Cage	New Avengers (2004) #1
Luke Cage	New Avengers (2004) #1
Luke Cage	2 of 5 - The Raft
Luke Cage	Cover #3439
Luke Cage	4 of 5 - Breakout!
Luke Cage	5 of 6 - Breakout!
Luke Cage	6 of 6 - Breakout!
Luke Cage	1 of 5 - The Raft
Luke Cage	3 of 3 - Sentry
Luke Cage	1 of 3 - Ronin
Luke Cage	2 of 3 - Ronin
Luke Cage	4 of 4 - Sentry
Luke Cage	3 of 3 - Ronin
Luke Cage	1 of 2 - Spider-Woman
Luke Cage	2 of 2 - Spider-Woman
Luke Cage	3 of 6 - Master of the Ring
Luke Cage	Cover #4499
Luke Cage	1 of 7 - 7XLS
Luke Cage	Cover #5874
Baron Strucker	Cover #10293
Baron Strucker	Cover #17809
Baron Strucker	The Crimson Crusade
Baron Strucker	Cover #24427
Baron Strucker	Hydra and Go-Seek
Baron Strucker	Earth X Chapter Seven
Baron Strucker	[untitled]
Baron Strucker	Cover #27830
Baron Strucker	Gold Rush!
Baron Strucker	Madripoor Nights
Baron Strucker	
Baron Strucker	The Vegas Idea
Baron Strucker	Hot Chrome and Cold Blood
Baron Strucker	Secret Warriors (2008) #6
Baron Strucker	Secret Warriors (2008) #7
Baron Strucker	Der Totenkopf
Baron Strucker	Pledge of Allegiance
Baron Strucker	Commencement Ceremonies
Baron Strucker	Secret Warriors (2008) #13
Baron Strucker	Secret Warriors (2008) #20
Constrictor	Shadows of Alarm..!
Constrictor	Home Is Where The Hitmen Are [Doin The Toe Jam]
Constrictor	The High Road, The Low Road, The Back Roads [Doin The Toe Jam]
Constrictor	The Freebie
Constrictor	Deadpool (1997) #35
Constrictor	Avengers: The Initiative (2007) #5
Constrictor	Dead Man's Switch Part Six
Constrictor	Visiting Hours!
Constrictor	Avengers: The Initiative (2007) #10
Constrictor	Avengers: The Initiative (2007) #17 - Int
Constrictor	Avengers: The Initiative (2007) #21 - Int
Constrictor	Avengers: The Initiative (2007) #22 - Int
